hgnc	ensemble
HBB	ENSG00000244734
HBA2	ENSG00000188536
HBA1	ENSG00000206172
HBG1	ENSG00000213934
HBG2	ENSG00000196565
HBD	ENSG00000223609
HBZ	ENSG00000130656
HBE1	ENSG00000213931
